station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
DENW266	DENW266	DE	Germany	Düren Euskirchener Straße	2008-12-16		Traffic	urban	urban	unknown		6.494617	50.804127	143			5358008	Düren, Stadt	no
DENW258	DENW258	DE	Germany	Düren Schoeller Straße	2009-01-08	2011-12-31	Traffic	urban	urban	unknown		6.492786	50.806717	138			5358008	Düren, Stadt	no
DENW082	DENW082	DE	Germany	Düsseldorf Corneliusstraße	1997-03-13		Traffic		urban	unknown		6.782564	51.213112	37	DÜSSELDORF		5111000	Düsseldorf, Stadt	no
DENW216	DENW216	DE	Germany	Düsseldorf-Bilk	2003-11-10		Traffic		urban	unknown		6.776139	51.202465	42			5111000	Düsseldorf, Stadt	no
DENW330	DENW330	DE	Germany	Düsseldorf-Lohausen	2013-01-15		Background	urban	urban	unknown		6.753747	51.269503	40					no
DENW071	DENW071	DE	Germany	Düsseldorf-Lörick	1983-09-01		Background	suburban	urban	unknown		6.732383	51.249214	32	DÜSSELDORF		5111000	Düsseldorf, Stadt	no
DENW072	DENW072	DE	Germany	Düsseldorf-Mörsenbroich	1988-10-01	2007-12-31	Traffic		urban	unknown		6.801186	51.250729	38	DÜSSELDORF		5111000	Düsseldorf, Stadt	no
DENW048	DENW048	DE	Germany	Düsseldorf-Reisholz	1983-09-01		Background		suburban	unknown	Highway: average speed vehicles > 80 km/h	6.859222	51.188828	40	DÜSSELDORF		5111000	Düsseldorf, Stadt	no
DEBB034	DEBB034	DE	Germany	Eberswalde	1993-10-01	1999-10-07	Traffic	suburban	suburban	unknown		13.800703	52.835064	29					no
DEBB060	DEBB060	DE	Germany	Eberswalde Breite Straße	2001-06-15		Traffic		urban	unknown		13.822211	52.832466	20			12060052	Eberswalde, Stadt	no
DEBW004	DEBW004	DE	Germany	Eggenstein	1976-09-01		Background	rural	rural	near city	Unknown	8.406660	49.076550	109			8215102	Eggenstein-Leopoldshafen	no
DEBW048	DEBW048	DE	Germany	Ehingen	1990-11-01	2004-01-31	Industrial	urban	urban	unknown		9.722486	48.278431	530	EHINGEN	84255005		Ehingen (Donau), Stadt	no
DENI028	DENI028	DE	Germany	Eichsfeld	1986-10-09		Background	suburban	suburban	unknown		10.238539	51.507580	185			3152007	Duderstadt, Stadt	no
DESN016	DESN016	DE	Germany	Eilenburg	1988-07-01	1994-07-31	Traffic		urban	unknown		12.633900	51.459728	100	EILENBURG		14730110	Eilenburg, Stadt	no
DENW044	DENW044	DE	Germany	Einbrungen	1983-09-01	1996-12-31	Background		suburban	unknown	Unknown	6.743853	51.318115	33	DÜSSELDORF		5111000	Düsseldorf, Stadt	no
DETH078	DETH078	DE	Germany	Eisenach A.-Bebel-Str	1991-01-01	1996-04-23	Traffic	urban	urban	unknown		10.314564	50.978130	210			16056000	Eisenach, Stadt	no
DETH013	DETH013	DE	Germany	Eisenach Wernebrg.Str	1996-04-23		Background	urban	urban	unknown		10.317236	50.978294	210			16056000	Eisenach, Stadt	no
DEBB032	DEBB032	DE	Germany	Eisenhüttenstadt	1993-04-20		Industrial	suburban	suburban	unknown	Wide street: L/H > 1.5	14.638166	52.146267	40	EISENHÜTTENSTADT		12067120	Eisenhüttenstadt, Stadt	no
DEST042	DEST042	DE	Germany	Eisleben	1993-01-19	1998-12-15	Background	suburban	suburban	unknown		11.544962	51.535164	150	EISLEBEN				no
DEST017	DEST017	DE	Germany	Eisleben (SO2-Messstelle)	1991-01-01	1992-01-01	Background		urban	unknown		11.551089	51.527729	150	EISLEBEN				no
DENW315	DENW315	DE	Germany	Elberndorf	2005-01-01	2009-12-31	Background	rural	rural	unknown		8.185439	51.015552	670					no
DENI059	DENI059	DE	Germany	Elbmündung	1998-03-20		Background	rural	rural	unknown		8.801220	53.830170	3			3352011	Cuxhaven, Stadt	no
DENW143	DENW143	DE	Germany	Elsdorf-Angelsdorf	2004-03-31	2006-01-09	Industrial	rural	rural	unknown		6.550981	50.935921	83			5362016	Elsdorf	no
DENW182	DENW182	DE	Germany	Elsdorf-Berrendorf	2006-01-09		Industrial	rural	rural	unknown		6.582205	50.927107	78			5362016	Elsdorf	no
DEBB007	DEBB007	DE	Germany	Elsterwerda	1992-09-01		Background	suburban	suburban	unknown		13.526797	51.462734	89			12062124	Elsterwerda, Stadt	no
DENI046	DENI046	DE	Germany	Emden/Borssum	1982-04-01	1987-10-31	Industrial		suburban	unknown		7.221614	53.344086	2			3402000	Emden, Stadt	no
DENI030	DENI030	DE	Germany	Emden/Twixlum	1982-04-01	1993-10-31	Background		rural	unknown	Unknown	7.133064	53.368233	2	EMDEN		3402000	Emden, Stadt	no
DEBW049	DEBW049	DE	Germany	Emmendingen	1990-08-01	2000-06-30	Background	urban	urban	unknown		7.848925	48.119141	200	EMMENDINGEN	83165003		Emmendingen, Stadt	no
DENW294	DENW294	DE	Germany	Emmerich-Elten Schmidtstraße 3	2010-11-23		Traffic	urban	urban	unknown		6.160480	51.872398	20			5154008	Emmerich am Rhein, Stadt	no
DENW283	DENW283	DE	Germany	Emmerich-Elten Schmidtstraße 8	2009-12-15	2011-01-03	Traffic	urban	urban	unknown		6.156389	51.873886	20			5154008	Emmerich am Rhein, Stadt	no
DENI043	DENI043	DE	Germany	Emsland	1988-10-01		Background	suburban	suburban	unknown		7.317470	52.498550	30			3454032	Lingen (Ems), Stadt	no
DESL005	DESL005	DE	Germany	Ensdorf	1983-07-01	2000-12-31	Background		suburban	unknown	Unknown	6.789431	49.305931	213	ENSDORF		10044123	Ensdorf	no
DETH043	DETH043	DE	Germany	Erfurt Bergstr.	1996-06-26		Traffic		urban	unknown	Canyon street: L/H < 1.5	11.019353	50.984875	195	ERFURT		16051000	Erfurt, Stadt	no
DETH081	DETH081	DE	Germany	Erfurt Heinrichstr	2004-08-25		Traffic		urban	unknown		11.010448	50.972328	210			16051000	Erfurt, Stadt	no
DETH019	DETH019	DE	Germany	Erfurt Kartäuserstr.	1994-01-03	2003-01-23	Background	urban	urban	unknown	Wide street: L/H > 1.5	11.024189	50.969578	190	ERFURT		16051000	Erfurt, Stadt	no
DETH047	DETH047	DE	Germany	Erfurt Kartäuserstr. (alt)	1977-02-01	1990-05-31	Background		urban	unknown		11.024064	50.968662	190	ERFURT		16051000	Erfurt, Stadt	no
DETH020	DETH020	DE	Germany	Erfurt Krämpferstr.	1991-03-01		Background	urban	urban	unknown	Wide street: L/H > 1.5	11.037926	50.979458	195	ERFURT		16051000	Erfurt, Stadt	no
DETH044	DETH044	DE	Germany	Erfurt Leipziger Platz	1977-01-01	1993-12-31	Background		urban	unknown	Canyon street: L/H < 1.5	11.040729	50.981651	190	ERFURT		16051000	Erfurt, Stadt	no
DETH099	DETH099	DE	Germany	Erfurt Walkmühlstr.	2010-01-01		Traffic	urban	urban	unknown		11.022236	50.970955	195			16051000	Erfurt, Stadt	no
DEBY017	DEBY017	DE	Germany	Erlangen/Häusling	1977-03-01	2004-04-01	Background	rural	rural	near city		10.933278	49.589985	300	HOUSLING		9562000	Erlangen	no
DEBY113	DEBY113	DE	Germany	Erlangen/Kraepelinstraße	2004-04-01		Background	suburban	suburban	unknown		10.963528	49.605911	284			9562000	Erlangen	no
DEBY116	DEBY116	DE	Germany	Erlangen/Pfarrstraße	2004-12-07	2011-05-09	Traffic		urban	unknown		11.001317	49.602627	266			9562000	Erlangen	no
DEBY016	DEBY016	DE	Germany	Erlangen/Sebaldusstraße	1977-03-01	1995-12-31	Background		suburban	unknown		11.016617	49.587601	290	ERLANGEN		9562000	Erlangen	no
DEBY018	DEBY018	DE	Germany	Erlangen/Tennenlohe	1977-03-01	1990-06-30	Background		suburban	unknown		11.031158	49.551762	300			9562000	Erlangen	no
DEBY015	DEBY015	DE	Germany	Erlangen/Werner-von-Siemens-Straße	1975-01-01	2003-01-30	Background		urban	unknown	Canyon street: L/H < 1.5	11.017347	49.596649	280	ERLANGEN		9562000	Erlangen	no
DENW190	DENW190	DE	Germany	Erwitte Soester Straße	2005-06-27	2006-12-31	Traffic		urban	unknown		8.333261	51.611362	103			5974016	Erwitte, Stadt	no
DENW210	DENW210	DE	Germany	Erwitte Soester Straße 9A	2006-12-20		Traffic		urban	unknown		8.334714	51.611671	103			5974016	Erwitte, Stadt	no
DENW287	DENW287	DE	Germany	Eschweiler Indestraße	2009-12-03		Traffic	urban	urban	unknown		6.264314	50.820557	140			5334012	Eschweiler, Stadt	no
DENW197	DENW197	DE	Germany	Eschweiler-Weisweiler	2006-09-26	2007-04-03	Industrial		suburban	unknown		6.316014	50.829655	126					no
DENW161	DENW161	DE	Germany	Essen Alfredstraße 9/11	2003-07-28		Traffic		urban	unknown		7.004405	51.440208	114			5113000	Essen, Stadt	no
DENW162	DENW162	DE	Germany	Essen Brückstraße	2003-07-28		Traffic		urban	unknown		7.000861	51.388184	53			5113000	Essen, Stadt	no
DENW163	DENW163	DE	Germany	Essen Brückstraße 39	2003-11-26	2006-12-19	Background		urban	unknown		7.001317	51.388477	97			5113000	Essen, Stadt	no
DENW134	DENW134	DE	Germany	Essen Gladbecker Straße	2003-10-29		Traffic		urban	unknown		7.005278	51.477932	55			5113000	Essen, Stadt	no
DENW168	DENW168	DE	Germany	Essen Gladbecker Straße 245	2003-11-26	2011-03-31	Traffic		urban	unknown		7.005116	51.477810	55			5113000	Essen, Stadt	no
DENW276	DENW276	DE	Germany	Essen Hafenstraße	2008-12-29		Traffic	urban	urban	unknown		6.980608	51.489563	35			5113000	Essen, Stadt	no
DENW135	DENW135	DE	Germany	Essen Hombrucher Straße	2003-10-29	2011-01-04	Traffic		urban	unknown		7.046511	51.457066	103			5113000	Essen, Stadt	no
DENW171	DENW171	DE	Germany	Essen Hombrucher Straße 21/23	2003-11-26		Traffic		urban	unknown		7.047133	51.457314	104			5113000	Essen, Stadt	no
DENW170	DENW170	DE	Germany	Essen Hombrucher Straße 3	2003-11-26	2006-12-31	Traffic		urban	unknown		7.045997	51.456696	104			5113000	Essen, Stadt	no
DENW169	DENW169	DE	Germany	Essen In der Baumschule	2003-11-26		Background		urban	unknown		7.005478	51.478485	50			5113000	Essen, Stadt	no
DENW277	DENW277	DE	Germany	Essen Krayer Straße 213	2008-12-29		Traffic	urban	urban	unknown		7.080297	51.465645	77			5113000	Essen, Stadt	no
DENW160	DENW160	DE	Germany	Essen Krayer Straße 94	2003-07-28	2008-01-03	Traffic		urban	unknown		7.077739	51.456589	79			5113000	Essen, Stadt	no
DENW215	DENW215	DE	Germany	Essen-Frohnhausen	2004-07-28		Traffic		urban	unknown		6.975814	51.443199	102			5113000	Essen, Stadt	no
DENW226	DENW226	DE	Germany	Essen-Kray	2008-01-01	2008-11-30	Industrial		urban	unknown		7.076603	51.470074	74			5113000	Essen, Stadt	no
DENW043	DENW043	DE	Germany	Essen-Ost Steeler Straße	1988-12-01		Traffic		urban	unknown		7.030603	51.451176	100	ESSEN		5113000	Essen, Stadt	no
DENW247	DENW247	DE	Germany	Essen-Schuir (LANUV)	2008-05-01		Background	suburban	suburban	unknown		6.965641	51.406967	153			5113000	Essen, Stadt	no
DENW028	DENW028	DE	Germany	Essen-Schuir (LUA)	1981-08-01	2007-08-29	Background	suburban	suburban	unknown		6.965991	51.406544	153					no
DENW024	DENW024	DE	Germany	Essen-Vogelheim	1985-11-01		Background		urban	unknown		6.981044	51.496525	47	ESSEN		5113000	Essen, Stadt	no
DEBW025	DEBW025	DE	Germany	Esslingen	1982-02-01	2004-01-31	Background	urban	urban	unknown		9.334039	48.727390	240	ESSLINGEN		8116019	Esslingen am Neckar, Stadt	no
DENW229	DENW229	DE	Germany	Euskirchen Frauenberger Straße	2007-11-19	2009-01-08	Traffic		urban	unknown		6.783225	50.660412	165			5366016	Euskirchen, Stadt	no
DESH036	DESH036	DE	Germany	Eutin	1985-01-01		Background	rural	rural	unknown		10.628677	54.135923	32					no
DESH031	DESH031	DE	Germany	Eutin-Elisabethstraße	2006-11-29	2008-01-29	Traffic		urban	unknown		10.615170	54.131462	36			1055012	Eutin, Stadt	no
DEBW159	DEBW159	DE	Germany	FVA Pflanzgarten	1997-10-10		Background	rural	rural	unknown		7.844395	47.976319	295					no
DEUB039	DEUB039	DE	Germany	Falkenberg	1998-10-05	2006-12-31	Background	rural	rural	unknown		14.455691	52.165569	73	FALKENBERG	120675708		Siehdichum	no
DESH013	DESH013	DE	Germany	Fehmarn	1994-05-19		Background	rural	rural	regional		11.215994	54.412991	2			1055046	Fehmarn, Stadt	no
DEBY127	DEBY127	DE	Germany	Feilitzsch	1993-04-22		Background	rural	rural	regional		11.945600	50.369900	510					no
DEBW196	DEBW196	DE	Germany	Fellbach Höhenstraße	2013-01-01		Traffic	suburban	suburban	unknown		9.260710	48.813440	291					no
DESN053	DESN053	DE	Germany	Fichtelberg	1970-10-01		Background	rural background	rural	remote		12.953458	50.428490	1214	OBERWIESENTHAL		14521440	Oberwiesenthal, Kurort, Stadt	no
DEBY160	DEBY160	DE	Germany	Fichtelgebirge Bestandsfläche	1987-08-31		Background	rural	rural	unknown		11.861722	50.134944	770					no
DEBY159	DEBY159	DE	Germany	Fichtelgebirge Freilandfläche	1987-09-02		Background	rural	rural	unknown		11.861697	50.143556	760					no
DENW075	DENW075	DE	Germany	Finnentrop	1991-09-01	2007-12-31	Background	rural	rural	near city		7.973436	51.173435	310	FINNENTROP				no
DEBB008	DEBB008	DE	Germany	Finsterwalde	1995-09-01	2000-10-10	Traffic	urban	urban	unknown		13.710116	51.636486	110			12062140	Finsterwalde, Stadt	no
DEBB901	DEBB901	DE	Germany	Finsterwalde, 1991-1995	1991-01-01	1995-06-10	Background		urban	unknown		13.715819	51.625862	107	FINSTERWALDE				no
DESH022	DESH022	DE	Germany	Flensburg	2001-02-01		Traffic		urban	unknown		9.438089	54.781429	15	FLENSBURG		1001000	Flensburg, Stadt	no
DEUB046	DEUB046	DE	Germany	Forellenbach	2000-01-01		Background	rural background	rural	remote		13.420573	48.947611	858		92729444		Gdefr. Geb. (Lkr Freyung-Grafenau)	no
DEBB009	DEBB009	DE	Germany	Forst	1992-01-01	2002-12-31	Background	suburban	suburban	unknown		14.640592	51.744026	75			12071076	Forst (Lausitz), Stadt	no
DEBW168	DEBW168	DE	Germany	Forst_Altensteig (Berneck)	1991-07-05		Background	rural	rural	unknown		8.645500	48.601200	490					no
DEBW167	DEBW167	DE	Germany	Forst_Altensteig (Egenhausen)	2009-05-26		Background	rural	rural	unknown		8.648900	48.595400	490					no
DEBW182	DEBW182	DE	Germany	Forst_Blumberg	1987-04-01		Background	rural	rural	unknown		8.555800	47.794300	870					no
DEBW184	DEBW184	DE	Germany	Forst_Brunnenholzried	1985-12-06		Background	rural	rural	unknown		9.720300	47.951000	585					no
DEBW164	DEBW164	DE	Germany	Forst_Büchenbronn	2006-10-25		Background	rural	rural	unknown		8.672000	48.854700	305					no
DEBW175	DEBW175	DE	Germany	Forst_Esslingen-Baltmannsweiler	1994-09-29		Background	rural	rural	unknown		9.426500	48.759200	340					no
DEBW171	DEBW171	DE	Germany	Forst_Forst_Conventwald	1992-01-01		Background	rural	rural	unknown		7.967000	48.021900	750					no
DEBW169	DEBW169	DE	Germany	Forst_Freudenstadt	1991-11-12	2005-05-31	Background	rural	rural	unknown		8.394500	48.434700	840					no
DEBW185	DEBW185	DE	Germany	Forst_Fronhofen	1994-10-27		Background	rural	rural	unknown		9.491500	47.859900	700					no
DEBW165	DEBW165	DE	Germany	Forst_Gengenbach	2003-09-22		Background	rural	rural	unknown		8.146700	48.431600	780					no
DEBW181	DEBW181	DE	Germany	Forst_Grubenhau	1996-11-01		Background	rural	rural	unknown		10.157600	48.547200	515					no
DEBW160	DEBW160	DE	Germany	Forst_Hartheim	2000-04-17		Background	rural	rural	unknown		7.594800	47.934400	200					no
DEBW158	DEBW158	DE	Germany	Forst_Hockenheim	1996-10-15		Background	rural	rural	unknown		8.606500	49.333300	100					no
DEBW187	DEBW187	DE	Germany	Forst_Isny	2009-10-22		Background	rural	rural	unknown		10.089500	47.732300	920					no
DEBW179	DEBW179	DE	Germany	Forst_Jettingen	2005-10-19		Background	rural	rural	unknown		8.800500	48.594100	0					no
DEBW180	DEBW180	DE	Germany	Forst_Löffingen	1989-10-30		Background	rural	rural	unknown		8.320700	47.928500	880					no
DEBW172	DEBW172	DE	Germany	Forst_Neckarwestheim	1996-10-25		Background	rural	rural	unknown		9.243200	49.035900	290					no
DEBW186	DEBW186	DE	Germany	Forst_Ochsenhausen-Steinhausen	2008-06-04		Background	rural	rural	unknown		9.966900	48.015500	665					no
DEBW177	DEBW177	DE	Germany	Forst_Rosenfeld (Brittheim)	1995-09-22		Background	rural	rural	unknown		8.663100	48.297300	660					no
DEBW163	DEBW163	DE	Germany	Forst_Rotenfels	2003-10-22		Background	rural	rural	unknown		8.396500	48.814100	600					no
DEBW170	DEBW170	DE	Germany	Forst_Schauinsland	1985-11-21		Background	rural	rural	regional		7.909300	47.914700	1200					no
DEBW176	DEBW176	DE	Germany	Forst_Schwäbisch Hall	2007-10-09		Background	rural	rural	unknown		9.801541	49.026607	510					no
DEBW174	DEBW174	DE	Germany	Forst_Schönbuch	1983-08-19		Background	rural	rural	unknown		9.055600	48.589500	450					no
DEBW178	DEBW178	DE	Germany	Forst_TBB-Großrinderfeld	1995-10-16		Background	rural	rural	unknown		9.759700	49.690800	395					no
DEBW183	DEBW183	DE	Germany	Forst_Tuttlingen	1994-09-29		Background	rural	rural	unknown		8.997000	47.996100	730					no
DEBW173	DEBW173	DE	Germany	Forst_Welzheim	1992-10-29		Background	rural	rural	unknown		9.579900	48.880800	550					no
DEHE027	DEHE027	DE	Germany	Frankenberg	1986-01-01	2004-01-09	Background	rural	rural	regional		8.772858	51.096863	387	FRANKENBERG		6635011	Frankenberg (Eder), Stadt	no
DERP026	DERP026	DE	Germany	Frankenthal-Europaring	1991-01-01		Traffic	urban	urban	unknown		8.355300	49.533300	99	FRANKENTHAL		7311000	Frankenthal (Pfalz), Stadt	no
DEHE070	DEHE070	DE	Germany	Frankfurt (3226)	2005-01-01		Background		urban	unknown		8.537804	50.094551	101			6412000	Frankfurt am Main, Stadt	no
DEHE069	DEHE069	DE	Germany	Frankfurt (3228)	2005-01-01		Background		urban	unknown		8.535514	50.104210	106			6412000	Frankfurt am Main, Stadt	no
DEHE071	DEHE071	DE	Germany	Frankfurt (3426)	2005-01-01		Background		rural	unknown		8.557378	50.095383	91			6412000	Frankfurt am Main, Stadt	no
DEHE072	DEHE072	DE	Germany	Frankfurt (3428)	2005-01-01		Background		urban	unknown		8.548623	50.103512	105			6412000	Frankfurt am Main, Stadt	no
DEHE066	DEHE066	DE	Germany	Frankfurt (5230)	2005-01-01		Industrial		urban	unknown		8.676108	50.111977	112			6412000	Frankfurt am Main, Stadt	no
DEHE067	DEHE067	DE	Germany	Frankfurt (5428)	2005-01-01		Background		urban	unknown		8.690894	50.104229	103			6412000	Frankfurt am Main, Stadt	no
DEHE068	DEHE068	DE	Germany	Frankfurt (5430)	2005-01-01		Background		urban	unknown		8.691578	50.111263	103			6412000	Frankfurt am Main, Stadt	no
DEBB042	DEBB042	DE	Germany	Frankfurt (Oder)	1997-04-21		Background	suburban	suburban	unknown		14.531917	52.339951	58			12053000	Frankfurt (Oder), Stadt	no
DEBB058	DEBB058	DE	Germany	Frankfurt (Oder) Landesumweltamt	2001-06-01	2002-06-14	Background		suburban	unknown		14.513461	52.324650	80			12053000	Frankfurt (Oder), Stadt	no
DEBB035	DEBB035	DE	Germany	Frankfurt (Oder), 1994-1997	1994-03-29	1997-04-15	Background	urban	urban	unknown		14.544556	52.345665	52	FRANKFURT (ODER)		12053000	Frankfurt (Oder), Stadt	no
DEBB045	DEBB045	DE	Germany	Frankfurt (Oder), Leipziger Str.	1995-08-01		Traffic		urban	unknown		14.538595	52.337334	56	FRANKFURT		12053000	Frankfurt (Oder), Stadt	no
DEHE096	DEHE096	DE	Germany	Frankfurt Palmengarten	2007-01-03		Background		urban	unknown		8.656658	50.125557	105			6412000	Frankfurt am Main, Stadt	no
DEHE003	DEHE003	DE	Germany	Frankfurt-Bockenheim	1977-01-01	1998-03-31	Traffic	urban	urban	unknown		8.634461	50.123432	99	FRANKFURT A. MAIN				no
DEHE041	DEHE041	DE	Germany	Frankfurt-Friedb.Ldstr.	1993-03-01		Traffic		urban	unknown	Wide street: L/H > 1.5	8.691911	50.124588	119	FRANKFURT		6412000	Frankfurt am Main, Stadt	no
DEHE004	DEHE004	DE	Germany	Frankfurt-Griesheim _	1984-01-01	1998-03-31	Traffic	urban	urban	unknown		8.607581	50.094513	99	FRANKFURT A. MAIN				no
DEHE005	DEHE005	DE	Germany	Frankfurt-Höchst	1979-01-01		Traffic	urban	urban	unknown	Wide street: L/H > 1.5	8.542053	50.101871	104	FRANKFURT A. MAIN		6412000	Frankfurt am Main, Stadt	no
DEHE036	DEHE036	DE	Germany	Frankfurt-Höhenstraße	1992-01-01		Traffic		urban	unknown		8.700250	50.123978	122			6412000	Frankfurt am Main, Stadt	no
DEHE006	DEHE006	DE	Germany	Frankfurt-Mitte	1977-04-01	1988-07-31	Traffic	urban	urban	unknown	Unknown	8.686989	50.117901	110	FRANKFURT A. MAIN		6412000	Frankfurt am Main, Stadt	no
DEHE007	DEHE007	DE	Germany	Frankfurt-Niederrad	1977-01-01	1998-03-31	Traffic	urban	urban	unknown		8.638617	50.086136	102	FRANKFURT A. MAIN				no
DEHE008	DEHE008	DE	Germany	Frankfurt-Ost	1984-01-01		Background	urban	urban	unknown		8.746342	50.125332	100	FRANKFURT A. MAIN		6412000	Frankfurt am Main, Stadt	no
DEHE009	DEHE009	DE	Germany	Frankfurt-Sindlingen	1977-01-01		Background	urban	urban	unknown		8.515592	50.080723	99	FRANKFURT A. MAIN		6412000	Frankfurt am Main, Stadt	no
DEHE065	DEHE065	DE	Germany	Frankfurt-Süd (5228)	2005-01-01		Background		urban	unknown		8.675587	50.104359	102			6412000	Frankfurt am Main, Stadt	no
DENW057	DENW057	DE	Germany	Frechen	1986-12-01	1996-12-31	Background		suburban	unknown		6.808561	50.918583	68	FRECHEN		5362024	Frechen, Stadt	no
DESN017	DESN017	DE	Germany	Freiberg	1994-09-01		Background	urban	urban	unknown	Wide street: L/H > 1.5	13.346825	50.916302	393	FREIBERG	145225109		Freiberg, Stadt	no
DEBW154	DEBW154	DE	Germany	Freiberg Benninger Straße	2008-01-01		Traffic	suburban	suburban	unknown		9.204194	48.938057	200		81185004		Freiberg am Neckar, Stadt	no
DESN068	DESN068	DE	Germany	Freiberg Rathaus	1989-12-01	1994-12-31	Background		urban	unknown		13.343072	50.917271	402	FREIBERG	145225109		Freiberg, Stadt	no
DEBW084	DEBW084	DE	Germany	Freiburg	1979-06-01		Background	urban	urban	unknown	Unknown	7.832122	48.001511	262	FREIBURG		8311000	Freiburg im Breisgau, Stadt	no
DEBW122	DEBW122	DE	Germany	Freiburg Schwarzwaldstraße (V)	2004-12-27		Traffic		urban	unknown		7.859872	47.988537	287			8311000	Freiburg im Breisgau, Stadt	no
DEBW127	DEBW127	DE	Germany	Freiburg Zähringer Straße (S)	2004-01-01		Traffic		urban	unknown		7.854872	48.012905	250			8311000	Freiburg im Breisgau, Stadt	no
DEBW083	DEBW083	DE	Germany	Freiburg-Nord	1987-01-01	2000-06-30	Traffic	urban	urban	unknown		7.854936	47.999718	260	FREIBURG		8311000	Freiburg im Breisgau, Stadt	no
DEBW097	DEBW097	DE	Germany	Freiburg-Straße	1993-12-01	2007-02-28	Traffic		urban	unknown	Wide street: L/H > 1.5	7.852756	47.998302	260	FREIBURG		8311000	Freiburg im Breisgau, Stadt	no
DEBB070	DEBB070	DE	Germany	Freienhufen, Hauptstr.	2004-12-21	2006-01-04	Traffic		suburban	unknown		13.964950	51.583092	122			12066112	Großräschen, Stadt	no
DEBY087	DEBY087	DE	Germany	Freising/Achering	1991-10-01	1998-12-31	Traffic	rural	rural	unknown		11.708521	48.344657	446					no
DESN018	DESN018	DE	Germany	Freital	1989-01-01	1995-04-30	Traffic		urban	unknown		13.662560	51.015190	169	FREITAL		14628110	Freital, Stadt	no
DEBW037	DEBW037	DE	Germany	Freudenstadt	1987-02-01	2010-12-31	Background	suburban	suburban	unknown		8.412808	48.472086	755	FREUDENSTADT	82375002		Freudenstadt, Stadt	no
DEBW038	DEBW038	DE	Germany	Friedrichshafen	1987-01-01		Traffic	urban	urban	unknown	Wide street: L/H > 1.5	9.485675	47.660056	404	FRIEDRICHSHAFEN	84355002		Friedrichshafen, Stadt	no
DENW007	DENW007	DE	Germany	Frohlinde	1980-12-01	1996-12-31	Background		suburban	unknown		7.348278	51.531143	110	CASTROP-RAUXEL		5562004	Castrop-Rauxel, Stadt	no
DENI078	DENI078	DE	Germany	Fuhrberg	1993-01-01	2007-12-31	Background	rural	rural	unknown		9.873960	52.590770	38					no
DEHE031	DEHE031	DE	Germany	Fulda	1988-01-01	2006-01-11	Traffic	urban	urban	unknown		9.698525	50.553562	308	FULDA		6631009	Fulda, Stadt	no
DEHE097	DEHE097	DE	Germany	Fulda Zentral-Friedhof	2008-01-01		Background	suburban	suburban	unknown		9.696033	50.542564	280			6631009	Fulda, Stadt	no
DEHE058	DEHE058	DE	Germany	Fulda-Mitte	2005-09-12		Background	urban	urban	unknown		9.682161	50.549297	272			6631009	Fulda, Stadt	no
DEHE059	DEHE059	DE	Germany	Fulda-Petersberger Str.	2005-09-14		Traffic	urban	urban	unknown		9.684853	50.550026	277			6631009	Fulda, Stadt	no
DEBB041	DEBB041	DE	Germany	Fürstenwalde	1994-02-01	1999-08-18	Background		suburban	unknown		14.069902	52.370876	40	FÜRSTENWALDE		12067144	Fürstenwalde/Spree, Stadt	no
DEHE028	DEHE028	DE	Germany	Fürth/Odenwald	1986-10-01		Background	rural	rural	unknown		8.817250	49.653465	484	FÜRTH/ODENWALD		6431007	Fürth	no
DEBY056	DEBY056	DE	Germany	Fürth/Theresienstraße	1990-11-01		Traffic		urban	unknown	Canyon street: L/H < 1.5	10.984706	49.472214	293	NÜRNBERG		9563000	Fürth	no
DEBW112	DEBW112	DE	Germany	Gaertringen	2005-12-21		Background	suburban	suburban	unknown		8.904442	48.645608	466		81155002		Gärtringen	no
DEBW068	DEBW068	DE	Germany	Gaggenau	1991-10-01	1992-11-17	Traffic	suburban	suburban	unknown		8.305573	48.815800	135	GAGGENAU		8216015	Gaggenau, Stadt	no
DEBY123	DEBY123	DE	Germany	Garmisch-Partenkirchen/Am Herrgottschrofen	2012-01-01		Background	suburban	rural	near city		11.062283	47.483194	720					no
DEBY081	DEBY081	DE	Germany	Garmisch-Partenkirchen/Kreuzeckbahnstraße	1994-11-01	2011-12-31	Background	rural	rural	near city		11.063066	47.476395	735	GARMISCH-PARTENKIRCHEN		9180117	Garmisch-Partenkirchen, M	no
DEBY082	DEBY082	DE	Germany	Garmisch-Partenkirchen/Wankgipfel	1984-01-01	2004-03-31	Background	rural background	rural	remote		11.142889	47.508499	1770	GARMISCH-PARTENKIRCHEN		9180117	Garmisch-Partenkirchen, M	no
DEBY083	DEBY083	DE	Germany	Garmisch-Partenkirchen/Zugspitzgipfel	1984-01-01	2007-12-31	Background	rural background	rural	remote		10.985722	47.421227	2960					no
DEUB037	DEUB037	DE	Germany	Gartow	1989-06-01	1991-06-30	Background	rural	rural	unknown		11.441906	53.068378	70		33545403		Höhbeck	no
DEMV026	DEMV026	DE	Germany	Garz	2013-01-01		Background	rural	rural	unknown		13.342138	54.323514	17					no
